ID,工号,姓名,部门,日期,异常类型,状态,偏差(分钟),描述
15,EMP0043,员工043,运营管理部,2026-06-03,早退,待确认,17,早退 17 分钟，计划 18:00 实际 17:43
14,EMP0042,员工042,运营管理部,2026-06-03,早退,待确认,6,早退 6 分钟，计划 18:00 实际 17:54
13,EMP0040,员工040,财务部,2026-06-03,早退,待确认,23,早退 23 分钟，计划 18:00 实际 17:37
12,EMP0031,员工031,财务部,2026-06-03,早退,待确认,12,早退 12 分钟，计划 18:00 实际 17:48
11,EMP0027,员工027,人力资源部,2026-06-03,早退,待确认,11,早退 11 分钟，计划 18:00 实际 17:49
10,EMP0026,员工026,人力资源部,2026-06-03,早退,待确认,29,早退 29 分钟，计划 18:00 实际 17:31
9,EMP0023,员工023,人力资源部,2026-06-03,早退,待确认,20,早退 20 分钟，计划 18:00 实际 17:40
8,EMP0022,员工022,人力资源部,2026-06-03,早退,待确认,6,早退 6 分钟，计划 18:00 实际 17:54
7,EMP0019,员工019,市场营销部,2026-06-03,早退,待确认,19,早退 19 分钟，计划 18:00 实际 17:41
6,EMP0018,员工018,市场营销部,2026-06-03,早退,待确认,14,早退 14 分钟，计划 18:00 实际 17:46
5,EMP0013,员工013,市场营销部,2026-06-03,早退,待确认,28,早退 28 分钟，计划 18:00 实际 17:32
4,EMP0010,员工010,技术研发部,2026-06-03,早退,待确认,18,早退 18 分钟，计划 18:00 实际 17:42
3,EMP0008,员工008,技术研发部,2026-06-03,早退,待确认,13,早退 13 分钟，计划 18:00 实际 17:47
2,EMP0005,员工005,技术研发部,2026-06-03,早退,待确认,12,早退 12 分钟，计划 18:00 实际 17:48
1,EMP0001,员工001,技术研发部,2026-06-03,早退,待确认,24,早退 24 分钟，计划 18:00 实际 17:36
